scenario,scenarioLabel,throttlingProfile,throttlingLabel,runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),35,2026-04-01T11:12:41.239Z,862.75,108,17.33,574.65,106.83,72.41,78.93,1453,40.65,100,4,96,40.65,17.32,3.91,19.42,0,0.0,90.10000002384186,443.7000000178814,13229,4.0,95.3
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),36,2026-04-01T11:13:08.839Z,862.62,108,17.32,574.62,106.82,72.32,78.93,1338,41.31,100,4,96,41.31,17.29,4.6,19.42,0,0.0,81.40000000596046,213.69999998807907,13227,4.0,95.2
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),37,2026-04-01T11:13:36.800Z,862.69,108,17.33,574.67,106.82,72.32,78.93,1361,39.76,100,4,96,39.76,17.26,3.08,19.42,0,0.0,106.2000000178814,296.09999999403954,13229,4.0,95.4
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),38,2026-04-01T11:14:04.703Z,862.68,108,17.33,574.63,106.82,72.35,78.93,1370,39.99,100,4,96,39.99,17.34,3.23,19.42,0,0.0,161.90000000596046,279.5,13229,4.0,95.4
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),39,2026-04-01T11:14:32.492Z,862.78,108,17.41,574.63,106.83,72.37,78.93,1326,39.22,100,4,96,39.22,17.28,2.54,19.41,0,0.0,129.80000001192093,253.60000002384183,13225,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),40,2026-04-01T11:15:00.862Z,862.66,108,17.37,574.61,106.83,72.32,78.92,1864,39.21,100,4,96,39.21,17.26,2.54,19.42,0,0.0,416.0,523.5999999940395,13229,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),41,2026-04-01T11:15:28.816Z,862.67,108,17.34,574.65,106.83,72.31,78.93,1403,38.54,100,4,96,38.54,17.27,1.85,19.41,0,0.0,112.5,199.80000001192093,13229,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),42,2026-04-01T11:15:56.676Z,862.56,108,17.33,574.53,106.83,72.32,78.93,1291,38.61,100,4,96,38.61,17.34,1.85,19.42,0,0.0,95.80000001192091,181.69999998807907,13227,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),43,2026-04-01T11:16:24.624Z,862.71,108,17.34,574.63,106.82,72.36,78.93,1353,39.22,100,4,96,39.22,17.27,2.54,19.42,0,0.0,91.90000000596046,275.59999999403954,13227,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),44,2026-04-01T11:16:52.499Z,862.68,108,17.34,574.65,106.83,72.32,78.93,1609,38.52,100,4,96,38.52,17.26,1.85,19.41,0,0.0,373.2999999821186,459.40000000596046,13229,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),45,2026-04-01T11:17:20.252Z,862.76,108,17.33,574.65,106.82,72.41,78.93,1306,39.27,100,4,96,39.27,17.33,2.54,19.41,0,0.0,115.59999999403954,234.5,13225,4.0,95.4
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),46,2026-04-01T11:17:47.970Z,862.82,108,17.43,574.67,106.83,72.35,78.93,1362,39.21,100,4,96,39.21,17.26,2.54,19.42,0,0.0,86.90000000596046,253.9000000059605,13227,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),47,2026-04-01T11:18:15.925Z,862.67,108,17.33,574.61,106.83,72.36,78.93,1466,40.55,100,4,96,40.55,17.24,3.9,19.41,0,0.0,247.0,358.7999999821186,13229,4.0,95.3
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),48,2026-04-01T11:18:43.755Z,862.66,108,17.34,574.63,106.82,72.32,78.94,1364,38.53,100,4,96,38.53,17.27,1.85,19.41,0,0.0,143.5,227.7000000178814,13229,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),49,2026-04-01T11:19:11.528Z,862.74,108,17.34,574.68,106.83,72.35,78.93,1300,39.25,100,4,96,39.25,17.28,2.55,19.42,0,0.0,99.60000002384186,210.09999999403956,13229,4.0,95.5
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),50,2026-04-01T11:19:39.447Z,862.84,108,17.4,574.65,106.83,72.41,78.93,1293,39.23,100,4,96,39.23,17.27,2.54,19.42,0,0.0,97.69999998807909,204.5,13229,4.0,95.5
