Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 1),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil,Median Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline,Speed Index,H1,47.0,282.5,-235.5,-83.4,99.0,0.000000,Ja,0.921,groß,-251.0,-217.5,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,JS-Ausführungszeit,H2,143.14,119.34,23.8,19.9,2497.0,0.000000,Ja,-0.998,groß,20.9,26.22,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,JS Heap (Used),H2,13.32,10.11,3.21,31.7,2500.0,0.000000,Ja,-1.0,groß,3.12,3.23,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,Payload (gesamt),H1,1155.2,838.2,317.0,37.8,2500.0,0.000000,Ja,-1.0,groß,302.53,349.52,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,HTTP-Requests,H1,131.0,100.0,31.0,31.0,2500.0,0.000000,Ja,-1.0,groß,30.0,32.0,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,HTML-Dokument,H1,14.98,18.44,-3.46,-18.8,0.0,0.000000,Ja,1.0,groß,-3.5,-3.45,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,JS-Payload,H2,755.4,566.52,188.88,33.3,2500.0,0.000000,Ja,-1.0,groß,188.85,188.9,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,API-Payload (Fetch+XHR),H1,236.68,106.08,130.6,123.1,2500.0,0.000000,Ja,-1.0,groß,130.44,130.73,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,CSS-Payload,H1,25.89,61.22,-35.33,-57.7,0.0,0.000000,Ja,1.0,groß,-35.34,-35.33,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Statische Assets,H1,122.27,77.5,44.77,57.8,2200.0,0.000000,Ja,-0.76,groß,29.88,77.27,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,Time to First Byte,H1,227.85,243.25,-15.4,-6.3,871.5,0.009163,Ja,0.303,mittel,-49.4,0.75,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,DOMContentLoaded,H2,1524.95,1556.85,-31.9,-2.0,1033.0,0.135564,Nein,0.174,klein,-67.6,17.8,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,DOM Interactive,H2,913.5,939.75,-26.25,-2.8,1034.5,0.138294,Nein,0.172,klein,-67.6,8.55,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Lighthouse Score,H1,100.0,100.0,0.0,0.0,1225.0,0.327086,Nein,0.02,vernachlässigbar,0.0,0.0,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline2,First Contentful Paint,H1/H2,99.7,,-66.58,-40.0,549.5,0.000001,Ja,0.56,groß,-74.65,-10.23,Kestrel-Kit (Prototyp),166.27
4G (Mobil),4g,prototype_vs_baseline2,Largest Contentful Paint,H1,99.7,,-69.26,-41.0,525.5,0.000001,Ja,0.58,groß,-86.54,-11.9,Kestrel-Kit (Prototyp),168.95
